SKU,Description,SP,MRP,productname,Brand,Size,Stock,imgurl,imgurl,imgurl,imgurl
418364-190081,"
							A wide-strapped, fitted knit dress with straps in contrasting colour and a silicon shield logo at the left chest. This features a polyester and spandex construction; a brilliant garment for competing on the court, with plenty of freedom to move as you play in lightweight material.MaterialPolyester Fabric 100%						",4912.83,5846.2677,K-SWISS Bigshot II Ladies V-Tank,K-SWISS,XS;S;M;L;Red/White;White/Purple,,http://products.activinstinct.com/y2014/m03/418364/93265710-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405308-WR4008170 / WR4008510 / WR4008710 / WR4008910,"
							Part of Wilson's Core Performance range, this skirt is made from a polyester and spandex mix that makes for an enhanced, comfortable fit. This racerback tank dress has soft elastic straps, overlay front panel and pleated back skirt detail. This is a supportive and supple garment that is perfect for court time. Side front vents and back box pleats make for a comfortable and classic design.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 88% Polyester, 12% Spandex Jersey KnitMaterialSpandex 12%Polyester Fabric 88%						",4912.83,5846.2677,WILSON Tea Lawn Girls Tennis Dress,WILSON,XS;S;M;L;XL;Black;Blue;Red;White,,http://products.activinstinct.com/y2014/m01/405308/73900574-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405215-WR3045100 / WR3045300 / WR3045700,"
							The Wilson Rush Flare 13.5? Ladies Tennis Skirt features a design with a 13.5"" length a-line cut that features a built in compression short for added support and comfort. Performance polyester/spandex jersey knit body featuring nanoWik moisture movement ensures you stay dry and comfortable at all times no matter how hot it gets out on court.

92% poly 8% spandex jersey knit + nanoWIKMaterialSpandex 8%Polyester Fabric 92%						",4912.83,5846.2677,"WILSON Rush Flare 13.5"" Ladies Tennis Skirt ",WILSON,XS;S;M;L;XL;Black;Purple;White,,http://products.activinstinct.com/y2014/m01/405215/79312320-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405079-WR3062390 / WR3062560,"
							The Wilson Solana V-Neck Ladies Tennis Tank is constructed with an athletic body conscious fit in mind. Unmatched performance is on offer thanks to the polyester/spandex jersey knit body with built in support bra and strategically placed mesh for ventilation. Liquid stretch two colour burn out pixel morph printed mesh at the centre back ensures a modern look along with contrast colour blocked comfort straps.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 89% Polyester, 11% Spandex Jersey KnitMaterialSpandex 11%Polyester Fabric 89%						",4912.83,5846.2677,WILSON Solana V-Neck Ladies Tennis Tank,WILSON,XS;S;M;L;XL;Blue;Orange,,http://products.activinstinct.com/y2014/m01/405079/31774237-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
24841-6P805020,"
							New! Superior optical quality in a light weight, sporty frame. Popular nylon frame design with rubberized temple grips to hold frame in place during play. Distortion free polycarbonate shield lenses with anti-fog/ anti-scratch coating. Includes an adjustable headstrap, and a micro fiber cleaning pouch.

Interchangeable lenses:
-Clear - For all courts.
-Amber - Ideal for dark courts to brighten lighting or at dusk for outdoor play.
-Sunglass - Ideal for outdoor court play in the sun.						",4912.83,5846.2677,PRINCE Speed Eyewear Multiple Lenses ,PRINCE,,,http://products.activinstinct.com/y2008/m12/24841/24841-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
224369-BC024,"
							A tough, well-made sports equipment bag which will hold a good amount of kit. This bag will lend itself to most equipment. For example, using Mini Tennis Rackets as a measure, it will hold 36.

It doesn't have to be rackets however, balls, clothes, bibs, markers, anything you plan on taking for children to play with and entertain themselves.

Capacious and convenient is another, this holdall bag has two handles with a comfortable padded grip. You can swing it over your shoulder, but if you're carrying a lot of kit you'll be very glad that it also features a robust set of wheels and a pulling handle too.

35”L X 15W X D 14MaterialPolyester 100%						",4912.83,5846.2677,ZSIG Large Equipment Holdall with Wheels,ZSIG,,,http://products.activinstinct.com/y2011/m04/224369/72224232-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
5408-GR28,"
							
Maximum cushioned replacement grip designed for added comfort and feel.
Aerated construction with a comfort foam backing, acts as an anti-fatigue barrier for greater shock absorption.
Ultra cushioned/perforated.
6 Grips						",4795.83,5707.0377,GAMMA Pro RX Grip Tennis Grip (Pack of 6 Grips),GAMMA,,,http://products.activinstinct.com/y2008/m12/5408/5408-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
387951-202201,"
							This Improver racket is designed for children between 7 and 11 years of age. It is recommended by official, national squash organisations across Great Britain. The racket features an aluminium frame as well as head, and is ideal for improving the skills of junior players. The racket weighs 190g and offers a length of 60.96cm.						",4795.83,5707.0377,UNSQUASHABLE Improver Junior Squash Racket,UNSQUASHABLE,,,http://products.activinstinct.com/y2013/m10/387951/14352987-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
246279-F000155/C002139,"
							HI-TEC started out making shoes for indoor court sports such as squash and badminton. They offered some of the best options for court shoes then, and that still remains today.

The Hi-Tec Squash Classic shoe provides superior levels of support and grip for the quick multidirectional changes required in the heat of a squash match. Comfort in these well rounded squash shoes is second to none allowing players to focus on improving their game.

Features include:

Mesh PU and leather upper
Webbing eyestay system
Nubuc leather vamp
Embroidery label detail
EVA wedge
Revised outsole with MDT branding and updated styling including new logoMaterialTextile 100%						",4678.83,5567.8077,HI-TEC Ladies Squash Classic Indoor Court Shoes,HI-TEC,UK4;UK4.5;UK5;UK6;UK6.5;UK7;UK7.5;UK8,,http://products.activinstinct.com/y2011/m09/246279/87051888-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
12630-62622-449/C002138,"
							The Hi-Tec Squash Classic Men's shoes provide superior levels of support and grip for the quick multidirectional changes required in the heat of a squash match. Comfort in these well rounded squash shoes is second to none allowing players to focus on improving their game.

Features include:

Mesh PU and leather upper
Webbing eyestay system
Nubuc leather vamp
Embroidery label detail
EVA wedge
Revised outsole with MDT branding and updated styling including new logoMaterialTextile 100%						",4678.83,5567.8077,HI-TEC Squash Classic Men's Indoor Shoes ,HI-TEC,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12;UK13,,http://products.activinstinct.com/y2008/m12/12630/60430064-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
353459-WRA345601 / WRA345607 / WRA345602/ WRA345608,"
							This is a garment that will ensure you find it far easier to move freely and feel far cooler and comfortable during the game. This is a supportive and supple garment that is perfect for court time.

The 32cm jersey skirt has a striped elastic waist, back box pleat with Wilson signature ball pocket, front seam vent and contrast built-in compression short.MaterialPoly Knit 						",4678.83,5567.8077,WILSON Ladies Sweet Spot Skirt,WILSON,XS;S;M;L;XL,,http://products.activinstinct.com/y2013/m04/353459/54611865-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
28372-20001,"
							This superb graphite composite racket the DSP 600 is lightweight but strong and will deliver welcome gains in your shot-making.

Features:


Graphite composite
Balance – Head
Headsize – 480
String – Unsquashable 600 silver string
Attractive Protective ¾ length cover
Weight – 200 g

						",4678.83,5567.8077,UNSQUASHABLE DSP 600 Squash Racket ,UNSQUASHABLE,,,http://products.activinstinct.com/y2009/m04/28372/24999173-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
387949-202191,,4678.83,5567.8077,UNSQUASHABLE Fundation Junior Squash Racket,UNSQUASHABLE,,,http://products.activinstinct.com/y2013/m10/387949/56184403-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
353422-WRA336101 / WRA336107 / WRA336105 / WRA336104,"
							This is a garment that will ensure you find it far easier to move freely and feel far cooler and comfortable during the game. This is a supportive and supple garment that is perfect for court time.

Duo-coloured, V-neck performance top with mesh side panels and contoured full mesh back, contrast colour insets at the sides.


88% Poly, 12% SpandexMaterialSpandex Poly Knit 						",4678.83,5567.8077,WILSON Ladies Melbane Top,WILSON,,,http://products.activinstinct.com/y2013/m04/353422/85250993-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
222863-WRR932900,"
							A grip designed for high performance badminton players.

With a thickness of 0.6mm, this grip offers a brilliant balance between all the qualities required from a racket grip: comfort, absorption, feel and tack. Tests have shown that even the white colouration contributes to the Pro Overgrip's unique gripability.

This has optimum feel, all round performance and unrivalled grip that makes it stand to the demands of touring professionals as well as club players and casual recreational players.						",4678.83,5567.8077,WILSON Pro Overgrip Badminton Racket Grip Ziplock 12 Pack,WILSON,,,http://products.activinstinct.com/y2011/m04/222863/18022964-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358285-WRT905700,"
							Part of the 2013 Aluminium Racket series, the Impact Pro is a great all round racket for the social and recreational player.

Specification:

Headsize: 497cm2
Weight (unstrung): 200g
Balance (unstrung): 31cm
String pattern: 14 x 19						",4674.15,5562.2385,WILSON Impact Pro 900 Red Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358285/67760954-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358287-WRT905800,"
							Part of the 2013 Aluminium Racket series, the Impact Pro is a great all round racket for the social and recreational player.

Specification:

Headsize: 497cm2
Weight (unstrung): 200g
Balance (unstrung): 31cm
String pattern: 14 x 19						",4674.15,5562.2385,WILSON Impact Pro 900 Yellow Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358287/53752439-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
7547-202172,"
							Fashionable, neat fitting eye protective glasses to prevent serious eye damaged caused by the ball and racket.


Polycarbonate clear lenses
Suitable for children ages 6-11 years old
Slim frame resulting in no restricted vision
Adjustable strap
Conforms to British Safety Standard No. BS7930-1 as required by England Squash

						",4444.83,5289.3477,UNSQUASHABLE Junior Protective Glasses ,UNSQUASHABLE,,,http://products.activinstinct.com/y2008/m12/7547/7547-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
7546-20217,"
							Fashionable, neat fitting eye protective glasses to prevent serious eye damaged caused by the ball and racket.


Polycarbonate clear lenses
Suitable for children ages 6-11 years old
Slim frame resulting in no restricted vision
Adjustable strap
Conforms to British Safety Standard No. BS7930-1 as required by England Squash						",4444.83,5289.3477,UNSQUASHABLE Senior Protective Glasses ,UNSQUASHABLE,,,http://products.activinstinct.com/y2008/m12/7546/7546-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
222928--,"
							Due to the gel layer that reduces uncomfortable vibrations and shock, this grip is ideal for players who can suffer from arm discomfort during play.

This is achieved due to blue IsoZorb Gel topped being topped with soft polyurethane. Give your arm the greatest support possible with a grip that will care for the arm that holds it.

Specification:

Length: 1100mm
Width: 27mm
Material: IsoZorb Gel, Polyurethane
Thickness: 2.0mm
Category: Replacement Grip						",4444.83,5289.3477,WILSON Shock Shield Hybrid Tennis Racket Grip 3 Pack,WILSON,,,http://products.activinstinct.com/y2011/m04/222928/53146349-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405273-WR4025390,"
							The Wilson Solana Girls Tennis Tank is designed to keep youngsters comfortable and confident on court with a high neck tank and cut in shoulders with racerback straps. Comfort and stretch are provided by the performance polyester/spandex jersey knit body.

Features:
Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 91% Polyester, 9% Spandex Jersey KnitMaterialSpandex 9%Polyester Fabric 91%						",4386.33,5219.7327,WILSON Solana Girls Tennis Tank,WILSON,XS;S;M,,http://products.activinstinct.com/y2014/m01/405273/94497847-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405302-WR4014550,"
							The Wilson Wavy Print Girls Tennis Tank is designed for cool comfort and ease of movement on the court with a construction from performance polyester/spandex engineered mesh knit body. Bold design will have young players looking the part out on the court on those hot days.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 89% Polyester, 11% Spandex JerseyMaterialSpandex 11%Polyester Fabric 89%						",4386.33,5219.7327,WILSON Wavy Print Girls Tennis Tank,WILSON,XS;S;M;L,,http://products.activinstinct.com/y2014/m01/405302/71059206-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418667-WR3041100 / WR3041300 / WR3041500 / WR3041700,"
							A high performance top design with ultimate performance on court in mind, this is packed full of technological features to help ensure brilliant match play.

Features:

nanoWIK moisture movement technology
Centre back mesh inserts for breathability
Built-in support bra with mesh for ventilation
Fabric wrapped elastic straps for added comfortMaterialSpandex 11%Polyester Fabric 89%						",4386.33,5219.7327,WILSON Tour II Ladies Tank,WILSON,XS;S;M;L;XL;Black;Blue;Pink;White,,http://products.activinstinct.com/y2014/m03/418667/25898185-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405165-WR3081110 / WR3081510 / WR3081710 / WR3081911,"
							The Wilson Team Skirt II provides classic comfort and performance with a 12.5? skirt and built in compression short. Features side front vents and back box pleats with a body constructed from performance polyester/spandex jersey knit. Wilson signature ball pockets allow for easy uninterrupted removal of tennis balls.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 89% Polyester, 11% Spandex Jersey KnitMaterialSpandex 11%Polyester Fabric 89%						",4386.33,5219.7327,WILSON Team Skirt II Ladies Tennis Skirt,WILSON,XS;S;M;L;XL;Black;Blue;Red;White,,http://products.activinstinct.com/y2014/m01/405165/34966027-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418640-WR2017200 / WR2017500,"
							A high performance top design with ultimate performance on court in mind, this is packed full of technological features to help ensure brilliant match play.

Features:

Anti-chaffe articulated no-sew bonded shoulder seams for reduced binding and chafing
nanoWIK moisture movement technology
Polyester mesh at under arms and side panels for added ventilationMaterialPolyester Fabric 100%						",4386.33,5219.7327,WILSON Specialist Stripe Junior V-Neck Top,WILSON,XS;S;M;L;XL;Blue;Grey,,http://products.activinstinct.com/y2014/m03/418640/12869333-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405279-WR4024390,"
							The Wilson Solana Girls Short sleeve Tennis Top is designed to keep youngsters comfortable and confident on court with a scoop neck with angled front neck seams. Comfort and stretch are provided by the performance polyester/spandex jersey knit body.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 91% Polyester, 9% Spandex Jersey KnitMaterialSpandex 9%Polyester Fabric 91%						",4386.33,5219.7327,WILSON Solana Girls Short Sleeve Tennis Top,WILSON,,,http://products.activinstinct.com/y2014/m01/405279/79695004-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
428934-F89272,"
							The Adidas RKT Team Junior Skort features a lightweight design that promotes freedom of movement. High levels of durability are provided by the strong seams and racket design. The shorts keep the legs cool with the use of Climacool technology and a mapped heat system so you won't feel the heat no matter how much the temperature ramps up on court.

With Climacool heat and moisture is controlled using a mixture of ventilation channels, three dimensional construction and material design.

Features:

Climacool
Lightweight
Elastic Waist
Built-in ShortMaterialPolyester Fabric 						",4152.33,4941.2727,ADIDAS RKT Team Junior Skort,ADIDAS,140cm;152cm,,http://products.activinstinct.com/y2014/m05/428934/85720736-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
355581-TW131V90,"
							This top uses stretch fabric that moves with your body to provide comfort on court. The fabric contains UV protection, shielding you from the rays of the sun. The fabric is also breathable and has wicking properties to take moisture away from your skin.

Composition: Poly Spandex Jersey: 88% Polyester / 12% Spandex; Laser Cut mesh: 88% Polyester / 12% Spandex

Features:

F box patch logoMaterialPolyester Spandex 						",4093.83,4871.6577,FILA Ladies Baseline Cap Sleeve Top,FILA,Pink;White,,http://products.activinstinct.com/y2013/m04/355581/61604861-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
7452-62622-449/C002138 ,"
							The Hi-Tec Squash Classic Junior shoes provide superior levels of support and grip for the quick multidirectional changes required in the heat of a squash match. Comfort in these well rounded squash shoes is second to none allowing juniors to focus on improving their game.

Features include:

Mesh PU and leather upper
Webbing eyestay system
Nubuc leather vamp
Embroidery label detail
EVA wedge
Revised outsole with MDT branding and updated styling including new logoMaterialTextile 100%						",4093.83,4871.6577,HI-TEC Squash Classic Junior Indoor Shoes ,HI-TEC,UK3;UK3.5;UK4.5;UK5;UK5.5,,http://products.activinstinct.com/y2008/m12/7452/57123479-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358813-773116,"
							An entry-level racket, made from alloy, for players that are totally new to the game of squash. It features an enlarged head size compared to its shortened length.

Features:

Head Size: 500cm sq.
Weight: 155g
Balance: Head Light
String Pattern: 14 x 20						",4093.83,4871.6577,DUNLOP Biotec Junior Pro Squash Racket,DUNLOP,,,http://products.activinstinct.com/y2013/m05/358813/56342237-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
27324-GR59/12,"
							The TOURNA Grip XL Overgrip Tennis Grip offers excellent absorption so that your racket feels fresh and in your control. The pack of ten means you've got some spare in your bag when the times comes to eventually replace one.


Absorbent overgrip pack of 10 grips						",4093.83,4871.6577,TOURNA Grip XL Overgrip Tennis Grip (Pack of 10 Grips),TOURNA,,,http://products.activinstinct.com/y2009/m02/27324/13845937-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
27322-GR48/10,,4093.83,4871.6577,TOURNA Tac Overgrip XL Tennis Grip (Pack of 10 Grips),TOURNA,,,http://products.activinstinct.com/y2009/m02/27322/27322-white-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
27371-WRZ483700,"
							Control your game with optimal precision and ultimate comfort with the help of the Wilson [K]Grip.
The [K] Grip features a new double polyurethane outer layer for outstanding feel and comfort. Cold, rather than the usual hot embossing of the grip enhances tackiness while innovative surface pattern provides exceptional feel.
Demand the best with a racket that scores highly right across the board.

Thickness: 1.9mm

Charactoristics:


Comfort: 9
Absorbent: 8
Feel: 9
Tack: 9						",4093.83,4871.6577,WILSON [K] Grip Replacement Grip (Pack of 3),WILSON,,,http://products.activinstinct.com/y2009/m02/27371/27371-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
27387-WRZ4016WH,"
							A grip designed for high performance tennis players.

With a thickness of 0.6mm, this grip offers a brilliant balance between all the qualities required from a racket grip: comfort, absorption, feel and tack. Tests have shown that even the white colouration contributes to the Pro Overgrip's unique gripability, while the perforation increases moisture absorption, thus providing better overall feel.

This has optimum feel, all round performance and unrivalled grip that makes it stand to the demands of touring professionals as well as club players and casual recreational players.						",4093.83,4871.6577,WILSON Pro Overgrip (Pack of 12),WILSON,,,http://products.activinstinct.com/y2009/m02/27387/75727714-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358290-WRT905900,"
							Part of the 2013 Aluminium Racket series, the Impact Pro is a great all round racket for the social and recreational player.

Specification:

Headsize: 497cm2
Weight (unstrung): 200g
Balance (unstrung): 31cm
String pattern: 14 x 19						",4089.15,4866.0885,WILSON Impact Pro 500 Blue Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358290/17484616-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358296-WRT906000,"
							Part of the 2013 Aluminium Racket series, the Impact Pro is a great all round racket for the social and recreational player.

Specification:

Headsize: 497cm2
Weight (unstrung): 200g
Balance (unstrung): 31cm
String pattern: 14 x 19						",4089.15,4866.0885,WILSON Impact Pro 500 Orange Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358296/74471305-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
427402-20034,"
							Excellent strong and robust aluminium racket, ideal for the beginner and hire use.

Features:

Ideal for beginners
Suitable as a hire racket
Excellent strong and robust aluminium racket
Double String System
Anti-Vibration System
Balance- Mid
String- Unsquashable 500 Silver string						",3976.83,4732.4277,UNSQUASHABLE DSP 400 Squash Racket,UNSQUASHABLE,,,http://products.activinstinct.com/y2014/m05/427402/27600882-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
383584--,"
							Black Knight eyeguards are the official eyeguards of many sports associations, including OFSAA Badminton (the Ontario Federation of School Athletic Associations) and Squash Ontario. The Stiletto models meet the ASTM safety standard F803-03 for badminton and squash.

Features:

Scratch resistant lens of high impact polycarbonate
Optically correct lenses with no distortion
Bayonet temple arms for a secure, comfortable fit
Anti-fog coating and flow through ventilation to eliminate foggingMaterialPolycarbonate 						",3859.83,4593.1977,BLACK KNIGHT Stiletto Eye Guard,BLACK KNIGHT,Black;Blue;Red,,http://products.activinstinct.com/y2013/m09/383584/83171596-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
27385-WRZ473900B,,3859.83,4593.1977,WILSON Soft Overgrip (Pack of 9),WILSON,Black;Gold;Green;Orange,,http://products.activinstinct.com/y2009/m02/27385/81436195-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
230101-WRA3444 / WR3102500,"
							The Core Performance range from Wilson is made with top players and athletes in mind. These high end garments are brilliant for adding support and performance to your game.

Although specifically from Wilson's tennis apparel this Compression Short is equally suitable for other racket sports such as badminton and squash. Ideal for wearing as they or under skirts, the polyester and spandex mix ensures an enhanced, comfortable fit.

Abrasion free seams have been placed at high stress points to enable a greater range of movement and enhance comfort, and the short also features a mesh back ball holder and a 2.5 inch seam which provides additional comfort and support.MaterialSpandex 12%Poly 84%						",3859.83,4593.1977,WILSON Core Performance Ladies Compression Short,WILSON,XS;S;M;L;XL;Black;Blue;White,,http://products.activinstinct.com/y2011/m06/230101/77415912-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405262-WR2019100 / WR2019700,"
							The Wilson Rush 8? Woven Boys Tennis Short is designed for pure performance on court with a 100% polyester mechanical stretch woven construction for movement in a pull on style with a 10? inseam. Wilson signature ball pockets allow for easy uninterrupted removal of tennis balls.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Select fabrics tested to shield the player with at least 30 plus UPF
Select fabrics tested to shield the player with at least 30 plus UPFMaterialSynthetic Material 						",3859.83,4593.1977,"WILSON Rush 8"" Woven Boys Tennis Short",WILSON,XS;S;M;L;XL;Black;White,,http://products.activinstinct.com/y2014/m01/405262/60998288-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
166891-ASS8,,3859.83,4593.1977,ASHAWAY Ultra Nick 18 Squash String Set,ASHAWAY,,,http://products.activinstinct.com/y2010/m03/166891/64054224-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
224870--,"
							Keep your eyes safe and firmly on the game, with this excellent example of racket sports protective eyewear.

The Turbo eye guard features:


Scratch resistant lens of high impact polycarbonate
Optically correct lenses with no distortion
Bayonet temple arms for a secure, comfortable fit
Anti-fog coating and flow through ventilation to eliminate fogging

The Turbo model meet the ASTM safety standard F803-03 for badminton and squash.						",3859.83,4593.1977,BLACK KNIGHT Turbo Eye Guard,BLACK KNIGHT,,,http://products.activinstinct.com/y2011/m05/224870/17873114-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
224367-BC021,"
							A tough, well-made sports equipment bag which will hold a good amount of kit. This bag will lend itself to most equipment. For example, using Mini Tennis Rackets as a measure, it will hold 24.

It doesn't have to be rackets however, balls, clothes, bibs, markers, anything you plan on taking for children to play with and entertain themselves.

The comfortable padded shoulder strap, handle grip, and strong zip make this holdall bag incredibly practical and easy to transport when needed.MaterialPolyester 100%						",3859.83,4593.1977,ZSIG Large Equipment Holdall,ZSIG,,,http://products.activinstinct.com/y2011/m04/224367/75298264-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
354351-WR4003170 / WR4003710,"
							This is a garment that will ensure you find it far easier to move freely and feel far cooler and comfortable during the game. This is a supportive and supple garment that is perfect for court time.

The 32cm jersey skirt has a striped elastic waist, back box pleat with Wilson signature ball pocket, front seam vent and contrast built-in compression short.MaterialSpandex Poly Knit 						",3508.83,4175.5077,WILSON Girl's Sweet Spot Skirt,WILSON,Black;White,,http://products.activinstinct.com/y2013/m04/354351/23337535-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358762-TW131W12-100,"
							Worn by Fila athletes at the French Open, this top uses stretch fabric that moves with your body to provide comfort on court. The fabric contains UV protection, shielding you from the rays of the sun. The fabric is also breathable and has wicking properties to take moisture away from your skin.

Composition: Poly Spandex Jersey: 88% Polyester / 12% Spandex; Laser Cut mesh: 88% Polyester / 12% Spandex

Features:

F box patch logo
Built in braMaterialPolyester Spandex 						",3508.83,4175.5077,FILA Ladies Wimbledon Racerback Tank,FILA,XS;S;L,,http://products.activinstinct.com/y2013/m05/358762/52810546-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
355524-TW131Y70,"
							Worn by Fila athletes at the French Open, this top uses stretch fabric that moves with your body to provide comfort on court. The fabric contains UV protection, shielding you from the rays of the sun. The fabric is also breathable and has wicking properties to take moisture away from your skin.

Composition: Poly Spandex Jersey: 88% Polyester / 12% Spandex; Laser Cut mesh: 88% Polyester / 12% Spandex

Features:

F box patch logo
Mesh insertsMaterialPolyester Spandex 						",3508.83,4175.5077,FILA Ladies Baseline Sleeveless Tank,FILA,,,http://products.activinstinct.com/y2013/m04/355524/97253164-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
167004-WRR942300,"
							Strike with power and precision while controlling every shot for precision over the net.
The key to this added bite is Wilson's exclusive Xycro Micro Fibres in the core that are bound with a raised braided outer surface.
The exterior is treated with Duracoat for greater durability and longer lasting performance.
Gauge: 1.24mm
Colour: Whi/Bla Line						",3508.83,4175.5077,WILSON Sensation Strike Squash String Set,WILSON,,,http://products.activinstinct.com/y2010/m03/167004/21116775-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358304-WRT90610U,"
							Part of the 2013 Aluminium Racket series, the Impact Pro is a great all round racket for the social and recreational player.

Specification:

Headsize: 497cm2
Weight (unstrung): 205g
Balance (unstrung): 31cm
String pattern: 14 x 19						",3504.15,4169.9385,WILSON Impact Pro 300 Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358304/18111374-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
297969-WRT93950U,"
							Made from aluminium, with a special junior friendly length and grip, this is a great entry level racket. Perfect as a platform form which the very youngest players can develop their game.

Specification:

Headsize: 477cm2
Weight (unstrung): 160g
Balance (unstrung): 25cm
String pattern: 14 x 19MaterialAluminum 						",3504.15,4169.9385,WILSON Tour Pro Junior Squash Racket,WILSON,,,http://products.activinstinct.com/y2012/m06/297969/78205224-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
27307-ASS6,"
							The ASHAWAY Super Nick XL Micro Set Squash String is for the squash player looking for supreme resiliency. It has a multifilament core with double braided multifilament jacket in micro gauge. This is a thin,resilient, micro gauge version of the famous SuperNick XL


1.15mm Yellow with Red/Blue Spiral						",3391.83,4036.2777,ASHAWAY Super Nick XL Micro Set Squash String,ASHAWAY,,,http://products.activinstinct.com/y2009/m02/27307/21395292-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
4297-ASS5,,3301.74,3929.0706,ASHAWAY Power Nick 18 Set Squash String ,ASHAWAY,,,http://products.activinstinct.com/y2008/m12/4297/98061028-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
