SKU,Description,SP,CP,SP,productname,Brand,Size,imgurl,Stock
319952-TIVHSTEM5,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

What makes these different to other Logic frames is the addition of the Fototec photochromic lens. This is produced from Trivex, a material that is lighter, stronger and more scratch resistant than polycarbonate, with unsurpassed optical clarity. Using NXT technology, transition times from light to dark and back again are incredibly fast.

This red lens is suited to activities when the sun is strongest. They have a light transmission range from 35% to 12%, sharpening contrast and transitioning from light to dark extremely quickly.

Knowing that you'll be competing while wearing them, the glasses have been designed to increase grip when in contact with sweat. Hydrophilic rubber resists aging and UV breakdown as well as providing a no-slip fit at the rubber ear and nose pieces.

There is ventilation to increase the airflow and reduce fogging, and the adjustable temples top this pair off, allowing for a customizable fit and increased wearing comfort.


Fits medium to large faces
Weight: 27g						",69.99,8499,9943.83,TIFOSI Logic High Speed Race Red Fototec Sunglasses,TIFOSI,,"http://products.activinstinct.com/y2012/m10/319952/71308597-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
249134-TIVSLICB,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

What makes these different to other Slip frames is the addition of the Fototec photochromic lens. This is produced from Trivex, a material that is lighter, stronger and more scratch resistant than polycarbonate, with unsurpassed optical clarity. Using NXT technology, transition times from light to dark and back again are incredibly fast.

This red lens is suited to activities when the sun is strongest. They have a light transmission range from 35% to 12%, sharpening contrast and transitioning from light to dark extremely quickly.

Knowing that you'll be competing while wearing them, the glasses have been designed to increase grip when in contact with sweat. Hydrophilic rubber resists aging and UV breakdown as well as providing a no-slip fit at the rubber ear and nose pieces.

There is ventilation to increase the airflow and reduce fogging, and the adjustable temples top this pair off, allowing for a customizable fit and increased wearing comfort.


Fits small to large faces
Weight: 25g						",69.99,8499,9943.83,TIFOSI Slip High Speed Red Fototec Sunglasses,TIFOSI,,"http://products.activinstinct.com/y2011/m10/249134/45923039-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
319947-TIVBCLOGXLG,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

What makes these different is the addition of the Fototec photochromic lens. This is produced from Trivex, a material that is lighter, stronger and more scratch resistant than polycarbonate, with unsurpassed optical clarity. Using NXT technology, transition times form light to dark and back again are incredibly fast.

This orange version of the lens has a transmission range from 45% to 15%, changing from orange to brown.

Knowing that you'll be competing while wearing them, the glasses have been designed to increase grip when in contact with sweat. Hydrophilic rubber resists aging and UV breakdown as well as providing a no-slip fit at the rubber ear and nose pieces.

There is ventilation to increase the airflow and reduce fogging, and the adjustable temples top this pair off, allowing for a customizable fit and increased wearing comfort.

Fits medium to large faces

Weight: 26g						",69.99,8499,9943.83,TIFOSI Backcountry Orange Fototec Logic XL Gunmetal Frame,TIFOSI,,"http://products.activinstinct.com/y2012/m10/319947/14614277-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
229004-SCO-1,,69.99,8499,9943.83,TOURNA Score Keeper,TOURNA,,"http://products.activinstinct.com/y2011/m06/229004/15750504-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288400-7J855361,"
							Unleash the beast. The world's first Thermo-Poly string, fine-tuned to deliver power, performance and precision.

Thermo process precisely tunes the string to optimise dynamic response and improve ball control. Beast XP rebounds at a lower angle than other pols allowing a faster swing which produces more power and controlling spin. A softer, more comfortable poly with remarkable feel.

Gauge: 1.25mm						",70.99,8599,10060.83,PRINCE Beast XP 17 Reel Green Tennis String (110m),PRINCE,,"http://products.activinstinct.com/y2012/m05/288400/55399808-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288402-7J856361,"
							Unleash the beast. The world's first Thermo-Poly string, fine-tuned to deliver power, performance and precision.

Thermo process precisely tunes the string to optimise dynamic response and improve ball control. Beast XP rebounds at a lower angle than other pols allowing a faster swing which produces more power and controlling spin. A softer, more comfortable poly with remarkable feel.

Gauge: 1.30mm						",70.99,8599,10060.83,PRINCE Beast XP 16 Reel Green Tennis String (110m),PRINCE,,"http://products.activinstinct.com/y2012/m05/288402/92802110-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
166885-PT15/200,,71.99,8699,10177.83,APOLLO Pro Response 17 200m Tennis String Reel,APOLLO,,"http://products.activinstinct.com/y2010/m03/166885/54024813-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170667- ,"
							Based on our 20 years of experience in string manufacturing of monofilament tennis strings made of co-polymere materials with toop quality products like COMPETITION and TOUCH TURBO we continuously improve and develope new formulations. PRO LINE No. II offers tournament players an extraordinary mixture of power, control and spin-potential. A constant dynamic response of the stringbed and the maintenance of the installed string tension grant steady playing characteristics and performances. * Gauge: 1.25mm * wide range of available gauges * various combinations of different gauges as a hybrid-string are possible to meet the player\'s personal demands * outstanding combination of power and control * highest spin-potential without string-slipping * extreme durability and best tension-maintenance						",73.19,8819,10318.23,KIRSCHBAUM Pro Line II 1.25mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170667/88110957-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170588- ,"
							SPIKY SHARK has a unique octagonal profile running down the length of the string (US patent 6,117,393).

Specially developed by Kirschbaum for an optimum grip to the ball to ensure best slice and spin transfer.

SPIKY SHARK - a new meaning of spin transfer


Gauge: 1.30mm
no string slipping
increased acceleration and comfort
best spin transfer						",73.19,8819,10318.23,KIRSCHBAUM Spiky Shark 1.30mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170588/80452902-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170586- ,"
							SPIKY SHARK has a unique octagonal profile running down the length of the string (US patent 6,117,393).

Specially developed by Kirschbaum for an optimum grip to the ball to ensure best slice and spin transfer.

SPIKY SHARK - a new meaning of spin transfer


Gauge: 1.25mm
no string slipping
increased acceleration and comfort
best spin transfer						",73.19,8819,10318.23,KIRSCHBAUM Spiky Shark 1.25mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170586/64472408-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
281260--,"
							The Sunwise Waterloo GS Sunglasses feature Chromafusion lenses that react to light with vivid colour contrast for all weather conditions. The light transmittance changes progressively when responding to the strength the UV from medium to strong and back again offering you total visual comfort and eliminating the need to change lenses. Feature a versatile lightweight half frame design that allows for excellent peripheral vision whether you're running, cycling, playing tennis or on the cricket field. Rubber nose pads and ear grips ensure secure comfortable fit.

Metallic silver frame with red features. Chromafusion grey lenses in red multi-layer mirror.						",79.99,9499,11113.83,SUNWISE Waterloo Sunglasses White,SUNWISE,,"http://products.activinstinct.com/y2012/m03/281260/86595527-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
19595,"
							
85 ball capacity
Roller allows you to simply roll over balls and they pop into cage
Once filled, swing the roller up onto its handles, lock the roller and open the door for ball feed
Rubber tyred cage prevents court damage
Detachable carry handle for easy portability
Height Adjustable with Sturdy base
Lightweight and easy to use for teachers, coaches, and personal use
Heavy duty construction, weather resistant coating
Weight: 8. 8lbs/4kg						",79.99,9499,11113.83,EAGNAS Ball Roller Retriever ,EAGNAS,,"http://products.activinstinct.com/y2008/m12/19595/19595-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4155-P26/100,,79.99,9499,11113.83,PRINCE Topspin w/Duraflex 15 Tennis String Reel (100m) ,PRINCE,,"http://products.activinstinct.com/y2008/m12/4155/47367219-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
2872-CSCR/MAN,,79.99,9499,11113.83,PRINCE Net Post Tennis Scoreboard ,PRINCE,,"http://products.activinstinct.com/y2008/m12/2872/2872-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
281175-Z2571,"
							This net is over 3m in length and can be easily raised to the height of a badminton net in a matter of seconds. Great for fun use, or even training drills based on depth; good for experienced players. It is also available in a 6.1m version that is perfect for getting more people involved in fun games.


Easy setup and take down.						",79.99,9499,11113.83,WILSON Tennis Net 3.2m,WILSON,,"http://products.activinstinct.com/y2012/m03/281175/60853786-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170578- ,"
							The Kirschbaum HELIX monofilament is helically wound in a multistage twisting process, followed by an additional heat setting treatment. The twisting process provides increased string elasticity for excellent playability and lively hitting feel. The additional heat treatment stabilizes the polymeric properties of the tennis string for better control and higher tension maintenance.

Gauge: 1.25mm
excellent playability
optimum mixture of power and control
tension and quality stability						",80.63,9563,11188.71,KIRSCHBAUM Helix 1.25mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170578/73907326-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170580- ,"
							The Kirschbaum HELIX monofilament is helically wound in a multistage twisting process, followed by an additional heat setting treatment. The twisting process provides increased string elasticity for excellent playability and lively hitting feel. The additional heat treatment stabilizes the polymeric properties of the tennis string for better control and higher tension maintenance.

Gauge: 1.30mm
excellent playability
optimum mixture of power and control
tension and quality stability						",80.63,9563,11188.71,KIRSCHBAUM Helix 1.30mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170580/37273111-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170634- ,"
							1.500 high-grade polyamid-fibres are prestretched by using a special process and afterwards twisted to create the core of the Kirschbaum TOUCH MULTIFIBRE. This multifilament inner construction is responsible for the extraordinary playing qualities and is protected against abrasion by using a ball-biting PU-coating.

The Kirschbaum TOUCH MULTIFIBRE is made not only for the sensitive tournament player with smaller string demand, but also for the pretentious recreational player who asks for superior performances.


Gauge: 1.25mm
superior comfort
highest protection for the arm
gut-like playing characteristics						",82.79,9779,11441.43,KIRSCHBAUM Touch Multi Fibre 1.25mm Tennis String Reel (110m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170634/21985816-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170612- ,"
							As second new invention the Kirschbaum COMPETITION is made for players with higher string demand. The COMPETITION is a resistant string with nearly no string movement on the racket which makes it interesting for top-spin players. At the same time maximum control and precision can be gained from this exciting new string. COMPETITION is used by world-class players and ambitious tournament players.

Gauge: 1.30mm
greater resilience for power shots
better control for acute precision
exceptional tension maintenance
high spin potiential						",82.79,9779,11441.43,KIRSCHBAUM Competition 1.30mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170612/38353763-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170610- ,"
							As second new invention the Kirschbaum COMPETITION is made for players with higher string demand. The COMPETITION is a resistant string with nearly no string movement on the racket which makes it interesting for top-spin players. At the same time maximum control and precision can be gained from this exciting new string. COMPETITION is used by world-class players and ambitious tournament players.

Gauge: 1.25mm
greater resilience for power shots
better control for acute precision
exceptional tension maintenance
high spin potiential						",82.79,9779,11441.43,KIRSCHBAUM Competition 1.25mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170610/62670961-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288407-7J824000,"
							Rated number 1. This string provides gut-like playability, exceptional comfort, power, liveliness and playability.


Linear technology, inner 900+ fibres are aligned parallel to move freely similar to natural gut.
Improved elasticity.
More comfort and feel.

Gauge: 1.30mm						",84.99,9999,11698.83,PRINCE Premier LT 16 Reel Natural Tennis String (100m),PRINCE,,"http://products.activinstinct.com/y2012/m05/288407/40254950-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
166887-AST1/110,,86.3,10130,11852.1,ASHAWAY Kevlar 16 Tennis String Reel (110m),ASHAWAY,,"http://products.activinstinct.com/y2010/m03/166887/21233304-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
422769-OO9236-03,"
							A brilliant balance between sport and lifestyle, the Oakley Valve is for active lives that demand both performance and pace-setting style.

The lightweight yet durable frame is made of O Matter. This is shaped with surge ports to maintain a cooling flow of air. Interchangeable nose pads let you achieve a comfortable, customizable fit, and the earsocks are made of the same sport-optimized Unobtainium to increase grip when you sweat.

Features in brief:

Durability and all-day comfort of lightweight, stress-resistant O Matter frame material
Unobtainium earsocks and nosebombs for added comfort and performance
Comfort and Performance of Three-Point Fit that holds lenses in precise optical alignment
Metal icon accents

Lenses with this frame:

Dark Bronze: Extremely bright light. Excellent all-purpose contrast-enhancing lens for sunny conditions.


OAKLEY Valve Sunglasses Matte Fog

A brilliant balance between sport and lifestyle, the Oakley Valve is for active lives that demand both performance and pace-setting style.

The lightweight yet durable frame is made of O Matter. This is shaped with surge ports to maintain a cooling flow of air. Interchangeable nose pads let you achieve a comfortable, customizable fit, and the earsocks are made of the same sport-optimized Unobtainium to increase grip when you sweat.

Features in brief:

Durability and all-day comfort of lightweight, stress-resistant O Matter frame material
Unobtainium earsocks and nosebombs for added comfort and performance
Comfort and Performance of Three-Point Fit that holds lenses in precise optical alignment
Metal icon accents

Lenses with this frame:

Grey Polarised: Medium to bright light. Excellent all-purpose lens that cuts blinding glare while offering truer colour perception.MaterialPlastic 						",87.99,10299,12049.83, OAKLEY Valve Sunglasses Matte Black,,,"http://products.activinstinct.com/y2014/m04/422769/62191093-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
360775-BMA430,"
							This water resistant heavy duty carry case will allow you to use the handles to transport the machine to and from your destination. It also includes pockets for storing the remote control, charger and other items. The machine can still be wheeled while using this case.

Can be used for Pro 1 and Pro 2 Tennis Ball Machines.MaterialNylon 						",89.99,10499,12283.83,SPINFIRE Pro 2 Carry Case,SPINFIRE,,"http://products.activinstinct.com/y2013/m05/360775/78886394-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
225125-10505,"
							A brilliant piece of training equipment to improve your reaction and hand-eye coordination.

Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with both a 'sane' and 'insane' side to improve your coordination, peripheral vision and reaction speeds.

The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park. It can be fun for the whole family, learning the basics of catching and throwing, while improving coordination and enjoying it along the way.

The 'sane' side gives a consistent rebound while the 'insane' side generates random rebounds; the ball returns erratically, testing and improving your reactions and hand-eye co-ordination in a manner similar to slip practice, and is ideal to replace the old fashioned slip cradle.


Excellent for practicing in groups or on your own
Suitable for all ball sports from cricket, hockey, tennis, rugby and football
Ideal for developing throwing and catching skills
Can be used across the board by all ages
New and affordable to everyone
Strong and robust
Small size 750mm x 750mm
Weight: 5kg

With free Vision Ball to improve catching and reflexes.						",89.99,10499,12283.83,CRAZY CATCH Upstart Rebound Net (75cm x 75cm),CRAZY,,"http://products.activinstinct.com/y2011/m05/225125/38317829-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429368-TIVPTYR2CB,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

Revised and ready for action, the 24g Tyrant 2.0 is lighter and better than ever, with Clarion lenses.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

Fully adjustable ear pads allow a custom fit, increasing comfort and performance. The same can be said for the fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",89.99,10499,12283.83,TIFOSI Tyrant 2.0 Fototec Polarized Sunglasses,TIFOSI,,"http://products.activinstinct.com/y2014/m05/429368/28496146-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429382-TIVPLOR8,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

The Lore is styled to transition seamlessly between sport and casual wear, the Lore will quickly become the go-to pair.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

The fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",89.99,10499,12283.83,TIFOSI Lore Fototec Polarized Sunglasses,TIFOSI,,"http://products.activinstinct.com/y2014/m05/429382/26270787-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
360775-BMA430,"
							This water resistant heavy duty carry case will allow you to use the handles to transport the machine to and from your destination. It also includes pockets for storing the remote control, charger and other items. The machine can still be wheeled while using this case.

Can be used for Pro 1 and Pro 2 Tennis Ball Machines.MaterialNylon 						",89.99,10499,12283.83,SPINFIRE Pro 2 Carry Case,SPINFIRE,,"http://products.activinstinct.com/y2013/m05/360775/78886394-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12618-TEN-575,,89.99,10499,12283.83,HARROD Mini Tennis Posts ,HARROD,,"http://products.activinstinct.com/y2008/m12/12618/12618-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
218081-PT11/200,"
							Monofilament construction was originally associated with low cost nylons, now a solid construction blending polyester or polyether which produces a highly durable string.


Gauge: 1.25mm
Colour: Light Silver
Length: 200m						",89.99,10499,12283.83,APOLLO Deviate 3D Tennis String Reel 200m,APOLLO,,"http://products.activinstinct.com/y2011/m03/218081/91754180-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
229057-TDRI-S,,89.99,10499,12283.83,TOURNA Dri Squeegee,TOURNA,,"http://products.activinstinct.com/y2011/m06/229057/46090622-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288405-7J766010,"
							Part of the Hybrid Half Set series this string has ultimate in gut-like playability. Combines multifilament design with the exclusive soft flex technology.


Softflex is an extremely elastic polymer that provides exceptional comfort and tension retention.
Microfibre construction contains thousands of fibres for reduced shock and elasticity.

Gauge: 1.30mm						",94.99,10999,12868.83,PRINCE Premier Softflex 16 Reel Natural Tennis String (100m),PRINCE,,"http://products.activinstinct.com/y2012/m05/288405/85857872-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
27280-P23/200,,94.99,10999,12868.83,PRINCE Tour 17 Tennis String Reel (200M) ,PRINCE,,"http://products.activinstinct.com/y2009/m02/27280/49613301-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
2889-C5231,,94.99,10999,12868.83,PRINCE Tennis Net Punched Headband ,PRINCE,,"http://products.activinstinct.com/y2008/m12/2889/2889-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288421-7J520110,"
							The power of Lightning XX combined with the spin produced from the tornado shaped outer wrap.


Spring loaded polyester Powerfoil releases explosive energy on impact for greater power while providing extra durability.
Tornado shaped outerwraps provide extra attacking topspin.

Gauge: 1.30mm						",95.99,11099,12985.83,PRINCE Lightning XX 16 Reel Clear/Silver Tennis String (200m),PRINCE,,"http://products.activinstinct.com/y2012/m05/288421/40329850-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
10763-tpe110,"
							The ideal teaching aid for beginners &amp; experts. It is light, portable &amp; easy to assemble &amp; can be used wherever space is limited.

It can be adjusted for different angle returns &amp; speeds to allow pracice of all strokes.

The frame is rustproof &amp; weatherproof.

Size when assembled: 200cm x 200cm (79"""" x 79"""").						",99,11400,13338,Tennis Rebound Net ,Tennis,,"http://products.activinstinct.com/y2008/m12/10763/44222648-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
18393-ZS012,"
							Zsig are at the forefront of creative coaching equipment and training aids for all racket sports encouraging the development of the next generation of sports stars.

This is a great addition for families to have some fun in the garden with or even for sports clubs in need of a useful and versatile net that is easy to store.

This highly portable full-size mini tennis net system folds away into a compact and sturdy carry bag. Constructed with a heavier frame and thick chunky-gauge net it is ideal for outside use. Still incredibly light and easy to assemble it is now easier than ever to carry around.						",99.99,11499,13453.83,ZSIG Mini Tennis Zsignet 20ft (6M) Net,ZSIG,,"http://products.activinstinct.com/y2008/m12/18393/48105811-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
5024,,99.99,11499,13453.83,EDWARDS Club Tennis Net,EDWARDS,,"http://products.activinstinct.com/y2008/m12/5024/5024-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
2895-C5352,,99.99,11499,13453.83,PRINCE Standard Windbreak 2m x 12m ,PRINCE,,"http://products.activinstinct.com/y2008/m12/2895/2895-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170626- ,"
							The Kirschbaum TOUCH consists of a high-grade co-polyamid core which guarantees superior comfort and maximum touch. Coating fibres (PA) protect the string from abrasion and the heat-setting provides long-lasting performance.

The Kirschbaum TOUCH is especially suitable for Serve&amp;Volley-play as it is a quick-responding string. Regular players profit from the immense acceleration.


Gauge: 1.25mm
superior ball feeling
protection for the arm
ultimate comfort						",100.79,11579,13547.43,KIRSCHBAUM Touch Classic 1.25mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170626/79654478-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
224761--,"
							This high performing string consists of a Multi-Filament construction. There is a Zyex Core with a durable overwrap, providing exceptional tension holding properties and durability in the string which is designed to increase power.

There is a tough microfibre wear layer, and this string suits advanced amateur and recreational players looking for a more powerful string.						",100.8,11580,13548.6,ASHAWAY Dynamite 18 Soft 1.34mm Tennis String Reel (110m),ASHAWAY,,"http://products.activinstinct.com/y2011/m05/224761/84660831-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
224767--,"
							This high performing string consists of a Multi-Filament construction. There is a Zyex Core with a durable overwrap, providing exceptional tension holding properties and durability in the string which is designed to increase power.

There is a tough microfibre wear layer, and this string suits advanced amateur and recreational players looking for a more powerful string.						",100.8,11580,13548.6,ASHAWAY Dynamite 17 Soft 1-25mm Tennis String Reel (110m),ASHAWAY,,"http://products.activinstinct.com/y2011/m05/224767/67808117-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4189-GG6/200,,103.48,11848,13862.16,GAMMA Synthetic Gut 15L Reel 200M Tennis String ,GAMMA,,"http://products.activinstinct.com/y2008/m12/4189/65338875-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
225142-10515,"
							A brilliant piece of training equipment to improve your reaction and hand-eye coordination.

Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with both a 'sane' and 'insane' side to improve your coordination, peripheral vision and reaction speeds.

The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park. It can be fun for the whole family, learning the basics of catching and throwing, while improving coordination and enjoying it along the way.

The 'sane' side gives a consistent rebound while the 'insane' side generates random rebounds; the ball returns erratically, testing and improving your reactions and hand-eye co-ordination in a manner similar to slip practice, and is ideal to replace the old fashioned slip cradle.


Excellent for practicing in groups or on your own
Suitable for all ball sports from cricket, hockey, tennis, rugby and football
Ideal for developing throwing and catching skills
Can be used across the board by all ages
New and affordable to everyone
Strong and robust
Medium size 930mm x 930mm
Weight: 8kg

With free Vision Ball to improve catching and reflexes.						",106.99,12199,14272.83,CRAZY CATCH Wildchild Rebound Net (93cm x 93cm),CRAZY,,"http://products.activinstinct.com/y2011/m05/225142/74052040-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
422767-OO9236-01,"
							A brilliant balance between sport and lifestyle, the Oakley Valve is for active lives that demand both performance and pace-setting style.

The lightweight yet durable frame is made of O Matter. This is shaped with surge ports to maintain a cooling flow of air. Interchangeable nose pads let you achieve a comfortable, customizable fit, and the earsocks are made of the same sport-optimized Unobtainium to increase grip when you sweat.

Features in brief:

Durability and all-day comfort of lightweight, stress-resistant O Matter frame material
Unobtainium earsocks and nosebombs for added comfort and performance
Comfort and Performance of Three-Point Fit that holds lenses in precise optical alignment
Metal icon accents

Lenses with this frame:

Black Iridium: Extremely bright light. Excellent all-purpose lens for sunny conditions. Offers truer colour perception. Features an Iridium coating to reduce glare.MaterialPlastic 						",107.99,12299,14389.83, OAKLEY Valve Sunglasses Polished Black,,,"http://products.activinstinct.com/y2014/m04/422767/67827271-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
280724-C5075,,109.99,12499,14623.83,PRINCE Play Court Tennis Net,PRINCE,,"http://products.activinstinct.com/y2012/m03/280724/79590288-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
222820-WRZ903300,"
							The SGX tennis string has a crisp, comfortable feel in a traditional synthetic gut.

The new SGX is composed of a high energy core surrounded by bi-directional X-bands for a soft and comfortable feel. Available in a variety of colours, the traditional synthetic gut suits all playing styles and abilities, so whether you are a graceful volleyer, or powerful stroke player from the baseline, this will compliment your performance.

Bi-directional x-bands have also been added for performance, enhancing firmness and control. An incredibly balanced string suitable for a variety of players, no matter their experience or style.

Specification:

Length: 200m
Gauge: 16g (1.30mm)
Material: Nylon
Category: All-Around						",110.37,12537,14668.29,WILSON SGX 16 Electric Pink Tennis String Reel (200m),WILSON,,"http://products.activinstinct.com/y2011/m04/222820/99335895-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
10672-GG15/110,"
							GAMMA TN2 17 Reel 110M Tennis String is a core with wrap design that features TNT 2 processed super elastic center core and new improved TNT 2 processing.

This results in increased resiliency for maximum control and enhanced feedback as well as explosive power with more feedback.

1. 32mm x 110m						",114.98,12998,15207.66,GAMMA TN2 17 Reel 110M Tennis String ,GAMMA,,"http://products.activinstinct.com/y2008/m12/10672/75063209-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4186-GG4/110,,114.98,12998,15207.66,GAMMA TN2 16 Reel 110M Tennis String ,GAMMA,,"http://products.activinstinct.com/y2008/m12/4186/24672267-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
220901--,"
							Keep you ball machine protected from the elements with this durable, weather resistant cover. With this extra care for your machine, it will last longer and be in peak condition for every training session.

This generic cover is suitable for all Playmate Ball Machines.

Please note: This product has a 2 year warranty.						",119.99,13499,15793.83,Playmate Ball Machine Cover,Playmate,,"http://products.activinstinct.com/y2011/m03/220901/84133047-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288440-7J834024,"
							Unique co-extruded 3D edges add a new dimension to your game by gripping the ball for outstanding spin and control.


Three high density polyester streams align to create a 3D shape to grip the ball for extra spin.
Medium density polyester core for added comfort, control and 50% less shock.
An easy to string polyester

Gauge: 1.27mm						",119.99,13499,15793.83,PRINCE Poly Spin 3D 17 Reel Black/Clear Tennis String (200m),PRINCE,,"http://products.activinstinct.com/y2012/m05/288440/71632467-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
