Category,SKU,Variant,MRP,productname,stock,imgurl,Description
�Head Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen HL 110 "",""price"":""1280.0"",""sku"":""86421071"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights/head-lights"",""category/lights""]},""category"":{""name"":""category/lights/head-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,280.00",Akslen HL 110 ,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Most Advanced Super Luminosity White LEDs E3™</p>
<p>Boosted / Steady High-Output Circuit Patented LitCell™</p>
<p>Light Convergence Technology Optimized Lighting Pattern for Cycle Headlights</p>
<p>Constant and flashing modes Low Power Indicator Quick-release 180 degrees</p>
<p>Adjustable bracket ( Clamps for diameter 22 - 30 and 30 - 38 mm )</p>
<p>Easy battery change and bracket mounting, totally tool-free Bulb:</p>
<p>Super Luminosity White LED x 3 Battery: LR06 ( Size ""AA"" ) x 2 Mode:</p>
<p>Constant + Flashing / 2 modes Battery Life:</p>
<p>Steady High-Output 15 hrs Flashing 40 hrs Size: 46 x 64 x 52 mm</p>
<p>Weight: 90g</p>
                
              </div>"
�Head Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen HL 80"",""price"":""1280.0"",""sku"":""86421073"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights/head-lights"",""category/lights""]},""category"":{""name"":""category/lights/head-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,280.00",Akslen HL 80,This item is currently out of stock,"/spree/products/118/product/374.jpg?1349926410,/spree/products/119/product/375.jpg?1349926419","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Most Advanced Super Luminosity White LEDs</p>
<p>E3™, Boosted / Steady High-Output Circuit</p>
<p>Patented LitCell™, Light Convergence Technology</p>
<p>Optimized Lighting Pattern for Cycle Headlights</p>
<p>Constant and flashing modes</p>
<p>Low Power Indicator</p>
<p>Quick-release 180 degrees adjustable bracket</p>
<p>( Clamps for diameter 22 - 30 and 30 - 38 mm )</p>
<p>Easy battery change and bracket mounting, totally tool-free</p>
<p>Bulb: Super Luminosity White LED x 3</p>
<p>Battery: LR06 ( Size ""AA"" ) x 2</p>
<p>Mode: Constant + Flashing / 2 modes</p>
<p>Battery Life: Steady High-Output 15 hrs</p>
<p>Flashing 40 hrs</p>
<p>Size: 70 x 42 x 52 mm</p>
<p>Weight: 71 g</p>
<p>The bicycle light will be your best partner to travel at night.</p>
<p>You can have a look, won't let you down!As we know, the bicycle headlight is too bright to night illumination and difficult to drive ahead in the dark. However, there will not be such bad experience as his gentle brightness. This bicycle frontlight will be your good assistant in the darkness, which gives out brilliant light to light up the way for you. The bright bicycle headlight is suitable for fixing on the bicycle to assure safety.</p>
<p>It is made of high quality material that is durable enough for long time using. As a bicycle headlight, it is pretty easy for installing and taking off, and increasing more safety in the morning or evening, even in cloudy or raining days. Features New and high quality Please notice the place of anode and cathode when install batteries For best performance, do not mix old and new batteries or ones with different types A good helper for riding, camping and hiking With sophisticated technology and high brightness LED lights.</p>
                
              </div>"
�Head Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen HL 92"",""price"":""1410.0"",""sku"":""86421072"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights/head-lights"",""category/lights""]},""category"":{""name"":""category/lights/head-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,410.00",Akslen HL 92,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Most Advanced Super Luminosity White LEDs</p>
<p>E3™, Boosted / Steady High-Output Circuit</p>
<p>Patented LitCell™, Light Convergence Technology</p>
<p>Optimized Lighting Pattern for Cycle Headlights</p>
<p>Low Power Indicator</p>
<p>Quick-release 180 degrees adjustable bracket</p>
<p>( Clamps for diameter 22 - 30 and 30 - 38 mm )</p>
<p>Easy battery change and bracket mounting, totally tool-free</p>
<p>Bulb: Super Luminosity White LED x 5</p>
<p>Battery: LR06 ( Size ""AA"" ) x 2</p>
<p>Size: 52 x 45 x 72 mm</p>
<p>Weight: 73 g ( Bracket included, no battery )</p>
                
              </div>"
�Tail Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen TL 100"",""price"":""670.0"",""sku"":""86421078"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights"",""category/lights/tail-lights""]},""category"":{""name"":""category/lights/tail-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 670.00,Akslen TL 100,This item is currently out of stock,"/spree/products/302/product/akslen-tl-100.jpg?1352820961,/spree/products/131/product/386.jpg?1349928211,/spree/products/132/product/387.jpg?1349928224","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-size: small;"">Easy installation and battery change, tool-free Bulb:</span></p>
<p><span style=""font-size: small;"">Small size and light-weight. Soft outer-casing made of special eco-friendly elastomeric material.</span></p>
<p><span style=""font-size: small;"">Elastic mounting band. Super Luminosity Red LEDs Patented LitWings II™,</span></p>
<p><span style=""font-size: small;"">Light Diffuse Technology Optimized Lighting Pattern for Cycle Taillights</span></p>
<p><span style=""font-size: small;"">Constant and flashing modes Elastic Mounting Band for diameter 22 to 35 mm</span></p>
<p><span style=""font-size: small;"">Super Luminosity Red LED x 1 Battery: LR03 ( Size ""AAA"" ) x 2 Mode: Constant +</span></p>
<p><span style=""font-size: small;"">Flashing / 2 modes</span></p>
<p><span style=""font-size: small;"">Battery Life: Constant 180 hrs / Flashing 360 hrs</span></p>
<p><span style=""font-size: small;"">Color: White Size: 45 x 43 x 65 mm</span></p>
<p><span style=""font-size: small;"">Weight: 47 g </span></p>
                
              </div>"
�Tail Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen TL 32R"",""price"":""900.0"",""sku"":""86421080"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights"",""category/lights/tail-lights""]},""category"":{""name"":""category/lights/tail-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 900.00,Akslen TL 32R,This item is currently out of stock,"/spree/products/301/product/akslen-tl-32r.jpg?1352820845,/spree/products/171/product/46.JPG?1350292650,/spree/products/135/product/391.JPG?1349928831","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Super Luminosity Red LEDs</p>
<p>Patented LitWings™, Light Diffuse Technology</p>
<p>Optimized Lighting Pattern for Cycle Taillights</p>
<p>1 Constant and 2 flashing modes</p>
<p>Quick-Release, adjustable Seatpost Mount, Back Carrier</p>
<p>Mount, and Bag Clip</p>
<p>Easy battery change and bracket mounting, totally tool-free</p>
<p>Bulb: Red LED x 4</p>
<p>Battery: LR03 ( Size "" AAA "") x 2</p>
<p>Mode: Constant 1 + Flashing 2 / 3 modes</p>
<p>Battery Life: Constant 45 hrs / Flashing 90 hrs</p>
<p>Color: TL-32R: Red ( With Red reflector )</p>
<p>TL-32C: Clear ( With Red reflector )</p>
<p>Size: 90 x 45 x 34 mm</p>
<p>Weight: 60 g ( Bracket included, no battery )</p>
<p>Akslen TL-32R Rear Bike Light Review Bike Light Shop rating - 6/10.</p>
<p>This smaller cousin of the Akslen TL-60S is equipped with 4 'Super Luminosity' red LEDs and also boasts Akslens LitWingsTM technology which enables the light to have up to 280 degrees of visibility meaning that you will be seen from the side far better than with other makes of rear light.</p>
<p>This lens technology also means that they don't need to place more LEDs in different directions to get the same effect - so you batteries last longer!</p>
                
              </div>"
�Tail Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen TL 52"",""price"":""730.0"",""sku"":""86421079"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights"",""category/lights/tail-lights""]},""category"":{""name"":""category/lights/tail-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 730.00,Akslen TL 52,This item is currently out of stock,"/spree/products/134/product/389.jpg?1349928427,/spree/products/133/product/388.JPG?1349928417","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Super Luminosity Red LEDs Patented LitWings™, Light Diffuse Technology Optimized Lighting Pattern for Cycle Taillights Constant and flashing modes Quick-Release, adjustable Seatpost Mount, Seatstay Mount, and Bag Clip Easy battery change and bracket mounting, totally tool-free.</p>
<p>Low battery indicator and constant mode only ( No flashing ) Bulb:</p>
<p>Super Luminosity Red LED x 2 Battery:</p>
<p>LR03 ( Size "" AAA "" ) x 2 Mode: Constant + Flashing / 2 modes</p>
<p>Battery Life: Constant 90 hrs / Flashing 180 hrs</p>
<p>Size: 54 x 35 x 34 mm</p>
<p>Weight: 46 g</p>
                
              </div>"
�Tail Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen TL 60"",""price"":""815.0"",""sku"":""86421077"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights"",""category/lights/tail-lights""]},""category"":{""name"":""category/lights/tail-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 815.00,Akslen TL 60,Delivered in 3 to 5 business days,"/spree/products/305/product/akslen-tl-60.jpg?1352821357,/spree/products/127/product/383.jpg?1349927343,/spree/products/128/product/384.jpg?1349927353,/spree/products/130/product/385.jpg?1349927368","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Safety is never been as cool as the AKSLEN Bicycle 3 Red LEDs with Reflector Taillight (TL-60). The vintage rectangular design of this reflector taillight gives your bicycle as classy look.</p>
<p>You can mount it on your seat bar, mud flap, or back carriage, and you know it still going to look great. With all that class, it complies also to Germany's standard light intensity which means you are seen and accidents won't happen.</p>
<p>Even weather cannot dampen the cool design of the AKSLEN Bicycle 3 Red LEDs with Reflector Taillight (TL-60) because it is waterproof and durable, so get yours now.</p>
<p>Main Features The newest ultra bright red LED Exclusive patent Litwings light guide technology Permanent bright and spangled two patterns Waterproof design Quick disassembly adjustable fixed seats(can be fixed on the seat or belt) The distribution of light intensity complies with the standards of Germany Specifications</p>
<p>Model: TL - 60 Weight: 0.06kg Dimension: 100 x 40 x 22mm</p>
<p>Color: Showed as picture Bulb: Ultra bright red 3 x LED</p>
<p>Battery: 2 x AA</p>
<p>Battery life: Persistent light up to 60 hours / Flash about 120 hours</p>
<p>Light Mode: Persistent light + Flash Package</p>
<p>Contents 1 x Taillight 3 x Fixed Seats 2 x Screws</p>
                
              </div>"
�Tail Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen TL 60S "",""price"":""1020.0"",""sku"":""86421076"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights"",""category/lights/tail-lights""]},""category"":{""name"":""category/lights/tail-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,020.00",Akslen TL 60S ,Delivered in 3 to 5 business days,"/spree/products/304/product/akslen-tl-60s.jpg?1352821307,/spree/products/126/product/382.jpg?1349927031,/spree/products/124/product/381.JPG?1349926997,/spree/products/125/product/380.JPG?1349927008","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>This excellent rear light is equipped with 5 'Super Luminosity Red' LEDs with two focussed lenses and boasts Akslens LitWingsTM technology which enables the light to have up to 280 degrees of visibility meaning that you will be seen from the side far better than with other makes of rear light. This lense technology also means that they don't need to place more LEDs in different directions to get the same effect - so your batteries last longer!</p>
<p>Run time; 3 modes / constant and 2 flashing modes - 36 hours on constant and 72 hours flasdhing</p>
<p>Batteries; 2x AAA (supplied).</p>
<p>Size; Approx 10cms long Features; 5x 'Super Lumosity' LEDs.</p>
<p>3 modes - constant, flashing, rotating.</p>
<p>Inc mounts for seatpost, carrier and/or bag clip</p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Anti Sieze Compound"",""price"":""480.0"",""sku"":""86421215"",""categories"":[""category/bike-care"",""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 480.00,Anti Sieze Compound,Delivered in 15 to 20 business days,"/spree/products/398/product/Anti_Sieze_Compound_ASC1_1.jpg?1359897119,/spree/products/399/product/Anti_Sieze_Compound_ASC1_2.jpg?1359897134","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p class=""p1"">Park Tool Anti-Seize Compound reduces friction in threaded and press fit connections for easy assembly and disassembly. Ideal for bottom bracket and pedal threads, pressed headset cups, seat posts, quill stems, etc.  </p>
<p class=""p1""> </p>
<ul class=""ul1"">
<li class=""li2"">Seals and protects parts from corrosion and rust under the most extreme conditions</li>
<li class=""li2"">For use on steel, aluminum, and titanium</li>
<li class=""li2"">4 oz (112 g) tube</li>
</ul>
                
              </div>"
Axiom,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Axiom Lasalle DLX Pannier Bag Set"",""price"":""8699.0"",""sku"":""86421209"",""categories"":[""brand/axiom"",""category/touring""]},""category"":{""name"":""brand/axiom""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 8,699.00",Axiom Lasalle DLX Pannier Bag Set,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><ul>
<li>600D water-resistant polyester</li>
<li>RIXEN &amp; KAUL VARIO adjustable hooks fit 6mm – 20mm racks (preset to fit Axiom racks)</li>
<li>Replaceable Rixen &amp; Kaul FLIP-LOCK</li>
<li>TIEDOWN adjustable hook and bungee system for quick and secure bag attachment</li>
<li>Streamliner shape for less wind resistance and a more centered load</li>
<li>Compression straps for adjustable volume and stability</li>
<li>4 way 3M REFLEX reflective Axiom logos</li>
<li>LED light mounts for added safety</li>
<li>TOP-LOAD bungee system for added storage or drying clothing on the move</li>
<li>External pockets for easy access storage</li>
</ul>
<ul>
<li>Double layer lower panels for extra durability</li>
<li>Includes: extra hook and hardware  and rain covers</li>
</ul>
<p> </p>
<p>Main compartment dimensions: 38 x 30 x 12.6cm (15""x 12""x 5"")<br>Pocket dimensions: 24.4 x 20 x 2.2cm (9.6"" x 8"" x .9"")<br>Volume: 30 liters (1830 cubic inches) - pair<br>Weight: 1684g / 3.75lbs - pair<br>Bag volume based on fully expanded compartment and pocket</p>
<p> </p>
                
              </div>"
Axiom,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Axiom Seymour LX Pannier Bag Set"",""price"":""4999.0"",""sku"":""86421210"",""categories"":[""brand/axiom"",""category/rider-comfort"",""category/touring""]},""category"":{""name"":""brand/axiom""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 4,999.00",Axiom Seymour LX Pannier Bag Set,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><ul>
<li>600D water-resistant polyester</li>
<li>Adjustable hooks fit 6mm-20mm racks (preset to fit Axiom racks)</li>
<li>Replaceable Rixen &amp; Kaul FLIP-LOCK</li>
<li>Easy elastic attachment system</li>
<li>Rear 3M reflective strips</li>
<li>Sold in pairs (note that one bag is shipped inside of the other bag)</li>
<li>The high level fabric used in all Axiom bags has exceptionally low off-gassing characteristics (open up a bag and you notice it doesn't smell like plastic or chemicals!) that exceed even European standards</li>
</ul>
                
              </div>"
�Bike Rack,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Axiom Streamliner DLX Rear Rack"",""price"":""3299.0"",""sku"":""86421211"",""categories"":[""brand/axiom"",""category/rider-comfort"",""category/touring"",""category/bike-rack""]},""category"":{""name"":""category/bike-rack""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 3,299.00",Axiom Streamliner DLX Rear Rack,This item is currently out of stock,"/spree/products/387/product/Axiom_streamliner_1.jpg?1359888037,/spree/products/388/product/Axiom_streamliner_2.jpg?1359888077,/spree/products/389/product/Axiom_streamliner_3.jpg?1359888096","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span>Axiom Streamliners have an ultra narrow profile that helps aerodynamics and keeps pannier loads closer to center.</span><br><br></p>
<ul>
<li>Fits, road, MTB and hybrid bikes with fenders</li>
<li>Versalock tubular aluminum stay mounts</li>
<li>Ultra-narrow profile helps aerodynamics and keeps pannier loads closer to center</li>
<li>Made from AL-6061-T6</li>
</ul>
<p> </p>
<p><span><strong>Rack Weight Limit: </strong>110 lbs</span><br><span><strong>Color: </strong>Black</span><br><span><strong>Weight: </strong>536.0 g</span></p>
                
              </div>"
�Books,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Base Building for Cyclists"",""price"":""950.0"",""sku"":""86421615"",""categories"":[""category/books""]},""category"":{""name"":""category/books""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 950.00,Base Building for Cyclists,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>A cyclist needs to have a strong foundation and a high fitness ceiling before the season even starts. Fundamentals like strength training and skill development take a backseat once race preparation begins in earnest. This is just one of the reasons why Thomas Chapple argues that the success of the upcoming season depends on the extent to which you can build your foundation of aerobic fitness, or your “base,” for the road ahead.<br><br>Whatever your goals as a cyclist, early season training should focus on broadening the aerobic base and building cycling-specific strength and skills. In effect, this builds a bigger, more efficient engine to help you reach higher intensities later in the season. Chapple’s guide for cyclists extends beyond the vital pre-season months, establishing the strong foundation that leads to improved overall fitness and speed. A stronger base makes a stronger, faster, cyclist.<br><br>Paperback with tables and illustrations throughout<br>6″ x 9″, 320 pp.</p>
                
              </div>"
Park Tool,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bearing Cup Press"",""price"":""11000.0"",""sku"":""86421234"",""categories"":[""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""brand/park-tool""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 11,000.00",Bearing Cup Press,This item is currently out of stock,"/spree/products/429/product/BearingCup_Press_2.jpg?1360403402,/spree/products/430/product/BearingCup_Press_3.jpg?1360403431,/spree/products/431/product/BearingCup_Press.jpg?1360403452","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p class=""p1"">Park Tool has the answer to your headset and cartridge cup pressing needs. The HHP-2 accurately aligns and presses 1"", 1-1/8"", 1-1/4"", and 1.5"" headset cups. In addition, it presses cartridge bearings and cups into one-piece bottom bracket shells and holds fixed cup wrenches firmly in place when removing or installing adjustable-type bottom brackets. </p>
<ul class=""ul1"">
<li class=""li2"">Aligns and presses 1"", 1-1/8"", 1-1/4"", and 1.5"" headset cups</li>
<li class=""li2"">Quick-release design for fast tool installation and removal</li>
<li class=""li2"">Extra long (30cm) handles for superior leverage</li>
<li class=""li2"">Stepped bushings for precise cup alignment.</li>
</ul>
                
              </div>"
Accessories,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bench Top Small Parts Holder"",""price"":""20000.0"",""sku"":""86421251"",""categories"":[""product/accessories"",""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""product/accessories""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 20,000.00",Bench Top Small Parts Holder,Delivered in 15 to 20 business days,"/spree/products/464/product/BTSPH_1.jpg?1360488011,/spree/products/466/product/BTSPH_1.jpg?1360488076","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>A holder for regularly used small parts</p>
<p>A great place to keep small parts, cable end caps, grease, and whatever else you can think of. Stainless steel construction with a clear acrylic hinged top and four removable bins. Parts not included. 12"" x 5.5"" x 3.5"" (30.5cm x 14cm x 9cm)</p>
                
              </div>"
Accessories,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Benchtop Overhaul Mat"",""price"":""1550.0"",""sku"":""86421250"",""categories"":[""product/accessories"",""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""product/accessories""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,550.00",Benchtop Overhaul Mat,Delivered in 15 to 20 business days,"/spree/products/462/product/OM-1_1.jpg?1360481386,/spree/products/463/product/OM-1_2.jpg?1360481417","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p class=""p1"">A great way to hold small parts, tools and components during a repair, the OM-1 features multiple small pockets and one large work area. Perfect for suspension work or to organize parts for installation.</p>
<ul>
<li>Made of a rubber-like PVC</li>
<li>Cleans easily and looks great on any bench</li>
<li>Measures: 14.7” x 7” (38cm x 18cm)</li>
</ul>
                
              </div>"
